,county,year,unemployment
158,"Newton County, AR",1990,8.0
159,"Ouachita County, AR",1990,13.9
160,"Perry County, AR",1990,8.2
161,"Phillips County, AR",1990,11.2
162,"Pike County, AR",1990,9.7
163,"Poinsett County, AR",1990,9.7
164,"Polk County, AR",1990,4.7
165,"Pope County, AR",1990,6.5
166,"Prairie County, AR",1990,6.5
167,"Pulaski County, AR",1990,5.5
168,"Randolph County, AR",1990,9.5
169,"St. Francis County, AR",1990,11.8
170,"Saline County, AR",1990,5.6
171,"Scott County, AR",1990,6.9
172,"Searcy County, AR",1990,8.8
173,"Sebastian County, AR",1990,7.3
174,"Sevier County, AR",1990,4.3
175,"Sharp County, AR",1990,7.6
176,"Stone County, AR",1990,7.0
177,"Union County, AR",1990,7.0
178,"Van Buren County, AR",1990,9.1
179,"Washington County, AR",1990,3.8
180,"White County, AR",1990,9.8
181,"Woodruff County, AR",1990,10.5
182,"Yell County, AR",1990,5.5
183,"Alameda County, CA",1990,4.1
184,"Alpine County, CA",1990,9.6
185,"Amador County, CA",1990,5.2
186,"Butte County, CA",1990,8.4
187,"Calaveras County, CA",1990,6.8
188,"Colusa County, CA",1990,14.3
189,"Contra Costa County, CA",1990,4.0
190,"Del Norte County, CA",1990,12.1
191,"El Dorado County, CA",1990,4.5
192,"Fresno County, CA",1990,11.6
193,"Glenn County, CA",1990,12.5
194,"Humboldt County, CA",1990,7.9
195,"Imperial County, CA",1990,25.5
196,"Inyo County, CA",1990,7.1
197,"Kern County, CA",1990,10.9
198,"Kings County, CA",1990,11.2
199,"Lake County, CA",1990,8.9
200,"Lassen County, CA",1990,9.8
201,"Los Angeles County, CA",1990,5.9
202,"Madera County, CA",1990,13.5
203,"Marin County, CA",1990,2.5
204,"Mariposa County, CA",1990,5.7
205,"Mendocino County, CA",1990,7.6
206,"Merced County, CA",1990,12.9
207,"Modoc County, CA",1990,9.6
208,"Mono County, CA",1990,5.9
209,"Monterey County, CA",1990,9.7
210,"Napa County, CA",1990,4.1
211,"Nevada County, CA",1990,4.8
212,"Orange County, CA",1990,3.5
213,"Placer County, CA",1990,4.2
214,"Plumas County, CA",1990,9.9
215,"Riverside County, CA",1990,7.2
216,"Sacramento County, CA",1990,4.6
217,"San Benito County, CA",1990,12.2
218,"San Bernardino County, CA",1990,5.6
219,"San Diego County, CA",1990,4.6
220,"San Francisco County/city, CA",1990,3.8
221,"San Joaquin County, CA",1990,9.9
222,"San Luis Obispo County, CA",1990,4.6
223,"San Mateo County, CA",1990,2.6
224,"Santa Barbara County, CA",1990,4.9
225,"Santa Clara County, CA",1990,4.0
226,"Santa Cruz County, CA",1990,7.2
227,"Shasta County, CA",1990,8.6
228,"Sierra County, CA",1990,10.9
229,"Siskiyou County, CA",1990,12.2
230,"Solano County, CA",1990,4.8
231,"Sonoma County, CA",1990,3.9
232,"Stanislaus County, CA",1990,11.9
233,"Sutter County, CA",1990,14.1
234,"Tehama County, CA",1990,10.0
235,"Trinity County, CA",1990,12.5
236,"Tulare County, CA",1990,12.3
237,"Tuolumne County, CA",1990,6.7
238,"Ventura County, CA",1990,5.8
239,"Yolo County, CA",1990,6.9
240,"Yuba County, CA",1990,10.7
241,"Adams County, CO",1990,5.8
242,"Alamosa County, CO",1990,7.3
243,"Arapahoe County, CO",1990,3.8
244,"Archuleta County, CO",1990,5.2
245,"Baca County, CO",1990,1.9
246,"Bent County, CO",1990,3.4
247,"Boulder County, CO",1990,4.9
248,"Broomfield County/city, CO",1990,3.7
249,"Chaffee County, CO",1990,6.9
250,"Cheyenne County, CO",1990,1.3
251,"Clear Creek County, CO",1990,4.0
252,"Conejos County, CO",1990,12.0
253,"Costilla County, CO",1990,10.7
254,"Crowley County, CO",1990,4.0
255,"Custer County, CO",1990,4.6
256,"Delta County, CO",1990,7.1
257,"Denver County/city, CO",1990,5.6
258,"Dolores County, CO",1990,4.8
259,"Douglas County, CO",1990,3.2
260,"Eagle County, CO",1990,3.6
261,"Elbert County, CO",1990,4.1
262,"El Paso County, CO",1990,7.2
263,"Fremont County, CO",1990,6.5
264,"Garfield County, CO",1990,4.1
265,"Gilpin County, CO",1990,2.5
266,"Grand County, CO",1990,3.1
267,"Gunnison County, CO",1990,7.4
268,"Hinsdale County, CO",1990,2.5
269,"Huerfano County, CO",1990,8.1
270,"Jackson County, CO",1990,2.9
271,"Jefferson County, CO",1990,3.9
272,"Kiowa County, CO",1990,2.6
273,"Kit Carson County, CO",1990,1.2
274,"Lake County, CO",1990,6.2
275,"La Plata County, CO",1990,6.0
276,"Larimer County, CO",1990,5.0
277,"Las Animas County, CO",1990,8.3
278,"Lincoln County, CO",1990,2.7
279,"Logan County, CO",1990,3.5
280,"Mesa County, CO",1990,6.0
281,"Mineral County, CO",1990,7.0
282,"Moffat County, CO",1990,5.8
283,"Montezuma County, CO",1990,7.4
284,"Montrose County, CO",1990,6.4
285,"Morgan County, CO",1990,4.5
286,"Otero County, CO",1990,7.2
287,"Ouray County, CO",1990,9.9
288,"Park County, CO",1990,3.8
289,"Phillips County, CO",1990,1.5
290,"Pitkin County, CO",1990,5.4
291,"Prowers County, CO",1990,5.6
292,"Pueblo County, CO",1990,7.3
293,"Rio Blanco County, CO",1990,4.3
294,"Rio Grande County, CO",1990,10.1
295,"Routt County, CO",1990,4.3
296,"Saguache County, CO",1990,12.1
297,"San Juan County, CO",1990,8.0
298,"San Miguel County, CO",1990,5.1
299,"Sedgwick County, CO",1990,1.8
300,"Summit County, CO",1990,3.7
301,"Teller County, CO",1990,4.6
302,"Washington County, CO",1990,2.0
303,"Weld County, CO",1990,5.8
304,"Yuma County, CO",1990,2.2
305,"Fairfield County, CT",1990,4.7
306,"Hartford County, CT",1990,5.2
307,"Litchfield County, CT",1990,4.7
308,"Middlesex County, CT",1990,4.1
309,"New Haven County, CT",1990,5.6
310,"New London County, CT",1990,5.7
311,"Tolland County, CT",1990,4.0
312,"Windham County, CT",1990,7.2
313,"Kent County, DE",1990,4.6
314,"New Castle County, DE",1990,5.1
315,"Sussex County, DE",1990,3.4
316,District of Columbia,1990,6.3
317,"Alachua County, FL",1990,3.6
318,"Baker County, FL",1990,7.3
319,"Bay County, FL",1990,9.1
320,"Bradford County, FL",1990,4.5
321,"Brevard County, FL",1990,5.4
322,"Broward County, FL",1990,5.8
323,"Calhoun County, FL",1990,7.3
324,"Charlotte County, FL",1990,4.8
325,"Citrus County, FL",1990,8.2
326,"Clay County, FL",1990,4.4
327,"Collier County, FL",1990,5.5
328,"Columbia County, FL",1990,8.6
329,"DeSoto County, FL",1990,7.2
330,"Dixie County, FL",1990,7.5
331,"Duval County, FL",1990,5.3
332,"Escambia County, FL",1990,5.8
333,"Flagler County, FL",1990,6.3
334,"Franklin County, FL",1990,5.5
335,"Gadsden County, FL",1990,5.0
336,"Gilchrist County, FL",1990,7.8
337,"Glades County, FL",1990,10.6
338,"Gulf County, FL",1990,6.7
339,"Hamilton County, FL",1990,8.0
340,"Hardee County, FL",1990,11.8
341,"Hendry County, FL",1990,13.3
342,"Hernando County, FL",1990,7.4
343,"Highlands County, FL",1990,9.0
344,"Hillsborough County, FL",1990,4.9
345,"Holmes County, FL",1990,6.9
346,"Indian River County, FL",1990,11.5
347,"Jackson County, FL",1990,6.0
348,"Jefferson County, FL",1990,4.2
349,"Lafayette County, FL",1990,5.8
350,"Lake County, FL",1990,8.2
351,"Lee County, FL",1990,3.9
352,"Leon County, FL",1990,3.2
353,"Levy County, FL",1990,5.6
354,"Liberty County, FL",1990,4.0
355,"Madison County, FL",1990,8.9
356,"Manatee County, FL",1990,4.0
357,"Marion County, FL",1990,6.0
358,"Martin County, FL",1990,7.5
359,"Miami-Dade County, FL",1990,7.4
360,"Monroe County, FL",1990,2.7
361,"Nassau County, FL",1990,5.8
362,"Okaloosa County, FL",1990,5.9
363,"Okeechobee County, FL",1990,8.3
364,"Orange County, FL",1990,5.6
365,"Osceola County, FL",1990,4.9
366,"Palm Beach County, FL",1990,7.3
