,county,year,unemployment
26037,"Yuma County, CO",1998,2.4
26038,"Fairfield County, CT",1998,3.0
26039,"Hartford County, CT",1998,3.7
26040,"Litchfield County, CT",1998,2.8
26041,"Middlesex County, CT",1998,3.2
26042,"New Haven County, CT",1998,3.7
26043,"New London County, CT",1998,4.0
26044,"Tolland County, CT",1998,2.7
26045,"Windham County, CT",1998,4.7
26046,"Kent County, DE",1998,4.1
26047,"New Castle County, DE",1998,3.6
26048,"Sussex County, DE",1998,3.8
26049,District of Columbia,1998,8.4
26050,"Alachua County, FL",1998,2.6
26051,"Baker County, FL",1998,3.9
26052,"Bay County, FL",1998,6.9
26053,"Bradford County, FL",1998,4.6
26054,"Brevard County, FL",1998,4.5
26055,"Broward County, FL",1998,4.7
26056,"Calhoun County, FL",1998,5.8
26057,"Charlotte County, FL",1998,3.7
26058,"Citrus County, FL",1998,6.1
26059,"Clay County, FL",1998,2.8
26060,"Collier County, FL",1998,4.4
26061,"Columbia County, FL",1998,4.7
26062,"DeSoto County, FL",1998,7.5
26063,"Dixie County, FL",1998,6.8
26064,"Duval County, FL",1998,3.4
26065,"Escambia County, FL",1998,4.0
26066,"Flagler County, FL",1998,3.2
26067,"Franklin County, FL",1998,5.3
26068,"Gadsden County, FL",1998,4.6
26069,"Gilchrist County, FL",1998,4.1
26070,"Glades County, FL",1998,9.0
26071,"Gulf County, FL",1998,12.2
26072,"Hamilton County, FL",1998,8.2
26073,"Hardee County, FL",1998,12.4
26074,"Hendry County, FL",1998,13.3
26075,"Hernando County, FL",1998,4.0
26076,"Highlands County, FL",1998,8.5
26077,"Hillsborough County, FL",1998,2.9
26078,"Holmes County, FL",1998,6.8
26079,"Indian River County, FL",1998,8.2
26080,"Jackson County, FL",1998,5.5
26081,"Jefferson County, FL",1998,4.3
26082,"Lafayette County, FL",1998,2.8
26083,"Lake County, FL",1998,3.4
26084,"Lee County, FL",1998,3.1
26085,"Leon County, FL",1998,2.9
26086,"Levy County, FL",1998,4.3
26087,"Liberty County, FL",1998,5.6
26088,"Madison County, FL",1998,4.9
26089,"Manatee County, FL",1998,2.7
26090,"Marion County, FL",1998,4.4
26091,"Martin County, FL",1998,6.1
26092,"Miami-Dade County, FL",1998,5.6
26093,"Monroe County, FL",1998,2.7
26094,"Nassau County, FL",1998,3.4
26095,"Okaloosa County, FL",1998,3.4
26096,"Okeechobee County, FL",1998,8.7
26097,"Orange County, FL",1998,3.1
26098,"Osceola County, FL",1998,3.2
26099,"Palm Beach County, FL",1998,5.9
26100,"Pasco County, FL",1998,3.9
26101,"Pinellas County, FL",1998,3.2
26102,"Polk County, FL",1998,5.7
26103,"Putnam County, FL",1998,5.4
26104,"St. Johns County, FL",1998,2.6
26105,"St. Lucie County, FL",1998,10.7
26106,"Santa Rosa County, FL",1998,4.2
26107,"Sarasota County, FL",1998,2.6
26108,"Seminole County, FL",1998,2.9
26109,"Sumter County, FL",1998,3.4
26110,"Suwannee County, FL",1998,4.5
26111,"Taylor County, FL",1998,7.9
26112,"Union County, FL",1998,2.9
26113,"Volusia County, FL",1998,3.6
26114,"Wakulla County, FL",1998,3.5
26115,"Walton County, FL",1998,4.2
26116,"Washington County, FL",1998,5.1
26117,"Appling County, GA",1998,10.5
26118,"Atkinson County, GA",1998,8.0
26119,"Bacon County, GA",1998,9.3
26120,"Baker County, GA",1998,9.4
26121,"Baldwin County, GA",1998,5.7
26122,"Banks County, GA",1998,4.1
26123,"Barrow County, GA",1998,4.1
26124,"Bartow County, GA",1998,4.4
26125,"Ben Hill County, GA",1998,6.2
26126,"Berrien County, GA",1998,4.7
26127,"Bibb County, GA",1998,6.0
26128,"Bleckley County, GA",1998,5.0
26129,"Brantley County, GA",1998,6.7
26130,"Brooks County, GA",1998,6.1
26131,"Bryan County, GA",1998,3.3
26132,"Bulloch County, GA",1998,3.7
26133,"Burke County, GA",1998,13.3
26134,"Butts County, GA",1998,4.9
26135,"Calhoun County, GA",1998,8.3
26136,"Camden County, GA",1998,4.1
26137,"Candler County, GA",1998,5.8
26138,"Carroll County, GA",1998,4.6
26139,"Catoosa County, GA",1998,4.0
26140,"Charlton County, GA",1998,5.1
26141,"Chatham County, GA",1998,4.8
26142,"Chattahoochee County, GA",1998,7.4
26143,"Chattooga County, GA",1998,4.0
26144,"Cherokee County, GA",1998,2.3
26145,"Clarke County, GA",1998,3.3
26146,"Clay County, GA",1998,7.5
26147,"Clayton County, GA",1998,3.8
26148,"Clinch County, GA",1998,3.5
26149,"Cobb County, GA",1998,2.7
26150,"Coffee County, GA",1998,5.4
26151,"Colquitt County, GA",1998,4.8
26152,"Columbia County, GA",1998,3.3
26153,"Cook County, GA",1998,4.9
26154,"Coweta County, GA",1998,3.4
26155,"Crawford County, GA",1998,4.1
26156,"Crisp County, GA",1998,6.4
26157,"Dade County, GA",1998,4.5
26158,"Dawson County, GA",1998,2.9
26159,"Decatur County, GA",1998,5.2
26160,"DeKalb County, GA",1998,4.2
26161,"Dodge County, GA",1998,6.2
26162,"Dooly County, GA",1998,6.9
26163,"Dougherty County, GA",1998,8.9
26164,"Douglas County, GA",1998,3.1
26165,"Early County, GA",1998,9.1
26166,"Echols County, GA",1998,4.0
26167,"Effingham County, GA",1998,3.8
26168,"Elbert County, GA",1998,8.5
26169,"Emanuel County, GA",1998,9.0
26170,"Evans County, GA",1998,4.1
26171,"Fannin County, GA",1998,5.6
26172,"Fayette County, GA",1998,2.3
26173,"Floyd County, GA",1998,4.5
26174,"Forsyth County, GA",1998,1.8
26175,"Franklin County, GA",1998,3.9
26176,"Fulton County, GA",1998,4.1
26177,"Gilmer County, GA",1998,5.4
26178,"Glascock County, GA",1998,12.6
26179,"Glynn County, GA",1998,3.4
26180,"Gordon County, GA",1998,4.6
26181,"Grady County, GA",1998,7.3
26182,"Greene County, GA",1998,6.7
26183,"Gwinnett County, GA",1998,2.5
26184,"Habersham County, GA",1998,4.0
26185,"Hall County, GA",1998,3.0
26186,"Hancock County, GA",1998,11.9
26187,"Haralson County, GA",1998,6.1
26188,"Harris County, GA",1998,2.8
26189,"Hart County, GA",1998,4.3
26190,"Heard County, GA",1998,5.2
26191,"Henry County, GA",1998,2.4
26192,"Houston County, GA",1998,3.8
26193,"Irwin County, GA",1998,5.3
26194,"Jackson County, GA",1998,4.1
26195,"Jasper County, GA",1998,3.9
26196,"Jeff Davis County, GA",1998,8.1
26197,"Jefferson County, GA",1998,12.4
26198,"Jenkins County, GA",1998,5.5
26199,"Johnson County, GA",1998,12.8
26200,"Jones County, GA",1998,4.5
26201,"Lamar County, GA",1998,4.4
26202,"Lanier County, GA",1998,2.9
26203,"Laurens County, GA",1998,7.7
26204,"Lee County, GA",1998,5.0
26205,"Liberty County, GA",1998,7.2
26206,"Lincoln County, GA",1998,7.2
26207,"Long County, GA",1998,3.4
26208,"Lowndes County, GA",1998,4.1
26209,"Lumpkin County, GA",1998,3.2
26210,"McDuffie County, GA",1998,8.0
26211,"McIntosh County, GA",1998,4.6
26212,"Macon County, GA",1998,10.8
26213,"Madison County, GA",1998,3.3
26214,"Marion County, GA",1998,4.7
26215,"Meriwether County, GA",1998,5.3
26216,"Miller County, GA",1998,4.3
26217,"Mitchell County, GA",1998,8.4
26218,"Monroe County, GA",1998,7.1
26219,"Montgomery County, GA",1998,8.8
26220,"Morgan County, GA",1998,4.1
26221,"Murray County, GA",1998,4.3
26222,"Muscogee County, GA",1998,5.3
26223,"Newton County, GA",1998,4.0
26224,"Oconee County, GA",1998,1.8
26225,"Oglethorpe County, GA",1998,4.2
26226,"Paulding County, GA",1998,2.3
26227,"Peach County, GA",1998,6.5
26228,"Pickens County, GA",1998,2.9
26229,"Pierce County, GA",1998,5.2
26230,"Pike County, GA",1998,3.8
26231,"Polk County, GA",1998,5.7
26232,"Pulaski County, GA",1998,5.4
26233,"Putnam County, GA",1998,3.5
26234,"Quitman County, GA",1998,5.3
26235,"Rabun County, GA",1998,2.8
26236,"Randolph County, GA",1998,14.2
26237,"Richmond County, GA",1998,7.2
26238,"Rockdale County, GA",1998,2.9
26239,"Schley County, GA",1998,5.4
26240,"Screven County, GA",1998,8.6
26241,"Seminole County, GA",1998,4.8
26242,"Spalding County, GA",1998,4.5
26243,"Stephens County, GA",1998,5.7
26244,"Stewart County, GA",1998,6.7
26245,"Sumter County, GA",1998,8.0
26246,"Talbot County, GA",1998,4.9
26247,"Taliaferro County, GA",1998,7.2
26248,"Tattnall County, GA",1998,5.4
26249,"Taylor County, GA",1998,6.0
26250,"Telfair County, GA",1998,9.5
26251,"Terrell County, GA",1998,13.2
26252,"Thomas County, GA",1998,4.7
26253,"Tift County, GA",1998,5.7
26254,"Toombs County, GA",1998,9.2
26255,"Towns County, GA",1998,4.9
26256,"Treutlen County, GA",1998,8.9
26257,"Troup County, GA",1998,4.9
26258,"Turner County, GA",1998,12.3
26259,"Twiggs County, GA",1998,7.3
26260,"Union County, GA",1998,4.1
26261,"Upson County, GA",1998,3.6
26262,"Walker County, GA",1998,4.7
26263,"Walton County, GA",1998,3.3
26264,"Ware County, GA",1998,4.7
26265,"Warren County, GA",1998,16.5
26266,"Washington County, GA",1998,8.5
26267,"Wayne County, GA",1998,7.4
26268,"Webster County, GA",1998,4.6
26269,"Wheeler County, GA",1998,9.8
26270,"White County, GA",1998,3.9
26271,"Whitfield County, GA",1998,3.2
26272,"Wilcox County, GA",1998,6.3
26273,"Wilkes County, GA",1998,6.3
26274,"Wilkinson County, GA",1998,8.2
26275,"Worth County, GA",1998,7.6
26276,"Hawaii County, HI",1998,9.4
26277,"Honolulu County/city, HI",1998,5.2
26278,"Kauai County, HI",1998,9.7
26279,"Maui County, HI",1998,6.6
26280,"Ada County, ID",1998,3.2
26281,"Adams County, ID",1998,14.8
26282,"Bannock County, ID",1998,5.0
26283,"Bear Lake County, ID",1998,4.6
26284,"Benewah County, ID",1998,11.9
26285,"Bingham County, ID",1998,5.0
26286,"Blaine County, ID",1998,4.0
26287,"Boise County, ID",1998,5.9
26288,"Bonner County, ID",1998,8.3
26289,"Bonneville County, ID",1998,3.6
26290,"Boundary County, ID",1998,9.2
26291,"Butte County, ID",1998,4.3
26292,"Camas County, ID",1998,3.6
26293,"Canyon County, ID",1998,5.0
26294,"Caribou County, ID",1998,6.0
26295,"Cassia County, ID",1998,7.2
26296,"Clark County, ID",1998,3.9
26297,"Clearwater County, ID",1998,13.0
26298,"Custer County, ID",1998,8.7
26299,"Elmore County, ID",1998,6.0
26300,"Franklin County, ID",1998,3.5
26301,"Fremont County, ID",1998,7.1
26302,"Gem County, ID",1998,7.0
26303,"Gooding County, ID",1998,3.9
26304,"Idaho County, ID",1998,10.7
26305,"Jefferson County, ID",1998,4.3
26306,"Jerome County, ID",1998,4.6
26307,"Kootenai County, ID",1998,7.9
26308,"Latah County, ID",1998,3.4
26309,"Lemhi County, ID",1998,8.6
26310,"Lewis County, ID",1998,7.5
26311,"Lincoln County, ID",1998,5.1
26312,"Madison County, ID",1998,2.9
26313,"Minidoka County, ID",1998,8.1
26314,"Nez Perce County, ID",1998,3.8
26315,"Oneida County, ID",1998,3.6
26316,"Owyhee County, ID",1998,2.8
26317,"Payette County, ID",1998,7.2
26318,"Power County, ID",1998,5.7
26319,"Shoshone County, ID",1998,11.2
26320,"Teton County, ID",1998,3.6
26321,"Twin Falls County, ID",1998,4.8
26322,"Valley County, ID",1998,9.4
26323,"Washington County, ID",1998,7.5
26324,"Adams County, IL",1998,3.3
26325,"Alexander County, IL",1998,7.8
26326,"Bond County, IL",1998,4.6
26327,"Boone County, IL",1998,3.9
26328,"Brown County, IL",1998,2.4
26329,"Bureau County, IL",1998,3.9
26330,"Calhoun County, IL",1998,4.1
26331,"Carroll County, IL",1998,4.1
26332,"Cass County, IL",1998,4.5
26333,"Champaign County, IL",1998,2.4
26334,"Christian County, IL",1998,4.3
26335,"Clark County, IL",1998,3.7
26336,"Clay County, IL",1998,6.0
26337,"Clinton County, IL",1998,4.0
26338,"Coles County, IL",1998,3.4
26339,"Cook County, IL",1998,5.2
26340,"Crawford County, IL",1998,6.2
26341,"Cumberland County, IL",1998,4.2
26342,"DeKalb County, IL",1998,3.3
26343,"De Witt County, IL",1998,4.4
26344,"Douglas County, IL",1998,2.9
26345,"DuPage County, IL",1998,3.0
26346,"Edgar County, IL",1998,3.7
26347,"Edwards County, IL",1998,5.6
26348,"Effingham County, IL",1998,4.2
26349,"Fayette County, IL",1998,5.8
26350,"Ford County, IL",1998,3.8
26351,"Franklin County, IL",1998,8.6
26352,"Fulton County, IL",1998,5.9
26353,"Gallatin County, IL",1998,7.1
26354,"Greene County, IL",1998,4.4
26355,"Grundy County, IL",1998,7.0
26356,"Hamilton County, IL",1998,8.4
26357,"Hancock County, IL",1998,3.2
26358,"Hardin County, IL",1998,6.4
26359,"Henderson County, IL",1998,3.3
26360,"Henry County, IL",1998,3.3
26361,"Iroquois County, IL",1998,4.2
26362,"Jackson County, IL",1998,3.9
26363,"Jasper County, IL",1998,8.8
26364,"Jefferson County, IL",1998,5.6
26365,"Jersey County, IL",1998,4.5
26366,"Jo Daviess County, IL",1998,3.1
26367,"Johnson County, IL",1998,7.0
26368,"Kane County, IL",1998,3.7
26369,"Kankakee County, IL",1998,5.2
26370,"Kendall County, IL",1998,3.1
26371,"Knox County, IL",1998,3.5
26372,"Lake County, IL",1998,3.2
26373,"LaSalle County, IL",1998,5.4
26374,"Lawrence County, IL",1998,6.6
26375,"Lee County, IL",1998,3.2
26376,"Livingston County, IL",1998,2.8
26377,"Logan County, IL",1998,3.5
26378,"McDonough County, IL",1998,2.1
26379,"McHenry County, IL",1998,3.8
26380,"McLean County, IL",1998,2.0
26381,"Macon County, IL",1998,4.8
26382,"Macoupin County, IL",1998,4.6
26383,"Madison County, IL",1998,4.1
26384,"Marion County, IL",1998,6.3
26385,"Marshall County, IL",1998,3.3
26386,"Mason County, IL",1998,5.5
26387,"Massac County, IL",1998,4.0
26388,"Menard County, IL",1998,3.3
26389,"Mercer County, IL",1998,4.4
26390,"Monroe County, IL",1998,2.8
26391,"Montgomery County, IL",1998,7.1
26392,"Morgan County, IL",1998,3.6
26393,"Moultrie County, IL",1998,2.9
26394,"Ogle County, IL",1998,3.3
26395,"Peoria County, IL",1998,3.4
26396,"Perry County, IL",1998,8.5
26397,"Piatt County, IL",1998,3.4
26398,"Pike County, IL",1998,4.6
26399,"Pope County, IL",1998,8.2
26400,"Pulaski County, IL",1998,9.0
26401,"Putnam County, IL",1998,4.6
26402,"Randolph County, IL",1998,5.1
26403,"Richland County, IL",1998,5.2
26404,"Rock Island County, IL",1998,3.4
26405,"St. Clair County, IL",1998,5.1
26406,"Saline County, IL",1998,7.5
26407,"Sangamon County, IL",1998,3.4
26408,"Schuyler County, IL",1998,4.2
26409,"Scott County, IL",1998,4.9
26410,"Shelby County, IL",1998,4.1
26411,"Stark County, IL",1998,4.3
26412,"Stephenson County, IL",1998,4.0
26413,"Tazewell County, IL",1998,3.0
26414,"Union County, IL",1998,6.4
26415,"Vermilion County, IL",1998,5.8
26416,"Wabash County, IL",1998,7.9
26417,"Warren County, IL",1998,3.2
26418,"Washington County, IL",1998,3.4
26419,"Wayne County, IL",1998,6.1
26420,"White County, IL",1998,6.9
26421,"Whiteside County, IL",1998,3.0
26422,"Will County, IL",1998,4.5
26423,"Williamson County, IL",1998,6.8
26424,"Winnebago County, IL",1998,3.9
26425,"Woodford County, IL",1998,2.2
26426,"Adams County, IN",1998,2.2
26427,"Allen County, IN",1998,2.8
26428,"Bartholomew County, IN",1998,2.2
26429,"Benton County, IN",1998,3.3
26430,"Blackford County, IN",1998,4.9
26431,"Boone County, IN",1998,1.6
26432,"Brown County, IN",1998,1.6
26433,"Carroll County, IN",1998,1.9
26434,"Cass County, IN",1998,3.0
26435,"Clark County, IN",1998,2.7
26436,"Clay County, IN",1998,4.2
26437,"Clinton County, IN",1998,3.1
26438,"Crawford County, IN",1998,6.0
26439,"Daviess County, IN",1998,2.9
26440,"Dearborn County, IN",1998,3.3
26441,"Decatur County, IN",1998,2.3
26442,"DeKalb County, IN",1998,2.5
26443,"Delaware County, IN",1998,4.1
26444,"Dubois County, IN",1998,1.7
26445,"Elkhart County, IN",1998,2.4
26446,"Fayette County, IN",1998,5.5
26447,"Floyd County, IN",1998,2.3
26448,"Fountain County, IN",1998,4.8
26449,"Franklin County, IN",1998,3.1
26450,"Fulton County, IN",1998,4.2
26451,"Gibson County, IN",1998,4.0
26452,"Grant County, IN",1998,3.8
26453,"Greene County, IN",1998,6.1
26454,"Hamilton County, IN",1998,1.2
26455,"Hancock County, IN",1998,2.0
26456,"Harrison County, IN",1998,2.8
26457,"Hendricks County, IN",1998,1.4
26458,"Henry County, IN",1998,4.2
26459,"Howard County, IN",1998,3.3
26460,"Huntington County, IN",1998,3.8
26461,"Jackson County, IN",1998,3.0
26462,"Jasper County, IN",1998,3.9
26463,"Jay County, IN",1998,4.3
26464,"Jefferson County, IN",1998,4.1
26465,"Jennings County, IN",1998,2.2
26466,"Johnson County, IN",1998,1.9
26467,"Knox County, IN",1998,3.5
26468,"Kosciusko County, IN",1998,2.6
26469,"LaGrange County, IN",1998,2.7
26470,"Lake County, IN",1998,4.2
26471,"LaPorte County, IN",1998,3.3
26472,"Lawrence County, IN",1998,6.2
26473,"Madison County, IN",1998,3.8
26474,"Marion County, IN",1998,2.9
26475,"Marshall County, IN",1998,2.7
26476,"Martin County, IN",1998,3.5
26477,"Miami County, IN",1998,4.2
26478,"Monroe County, IN",1998,2.6
26479,"Montgomery County, IN",1998,2.7
26480,"Morgan County, IN",1998,2.8
26481,"Newton County, IN",1998,3.5
26482,"Noble County, IN",1998,2.9
26483,"Ohio County, IN",1998,3.3
26484,"Orange County, IN",1998,6.7
26485,"Owen County, IN",1998,4.0
26486,"Parke County, IN",1998,4.0
26487,"Perry County, IN",1998,5.1
26488,"Pike County, IN",1998,3.3
26489,"Porter County, IN",1998,2.7
26490,"Posey County, IN",1998,2.8
26491,"Pulaski County, IN",1998,4.9
26492,"Putnam County, IN",1998,2.4
26493,"Randolph County, IN",1998,7.7
26494,"Ripley County, IN",1998,3.2
26495,"Rush County, IN",1998,2.7
26496,"St. Joseph County, IN",1998,2.8
26497,"Scott County, IN",1998,3.3
26498,"Shelby County, IN",1998,2.8
26499,"Spencer County, IN",1998,3.2
26500,"Starke County, IN",1998,4.5
26501,"Steuben County, IN",1998,2.9
26502,"Sullivan County, IN",1998,5.7
26503,"Switzerland County, IN",1998,5.1
26504,"Tippecanoe County, IN",1998,2.0
26505,"Tipton County, IN",1998,2.8
26506,"Union County, IN",1998,3.5
26507,"Vanderburgh County, IN",1998,3.3
26508,"Vermillion County, IN",1998,6.3
26509,"Vigo County, IN",1998,4.7
26510,"Wabash County, IN",1998,3.4
26511,"Warren County, IN",1998,3.0
26512,"Warrick County, IN",1998,3.0
26513,"Washington County, IN",1998,5.0
26514,"Wayne County, IN",1998,3.9
26515,"Wells County, IN",1998,2.5
26516,"White County, IN",1998,3.8
26517,"Whitley County, IN",1998,2.4
26518,"Adair County, IA",1998,2.4
26519,"Adams County, IA",1998,3.3
26520,"Allamakee County, IA",1998,4.8
26521,"Appanoose County, IA",1998,4.4
26522,"Audubon County, IA",1998,2.9
26523,"Benton County, IA",1998,2.9
26524,"Black Hawk County, IA",1998,3.5
26525,"Boone County, IA",1998,2.3
26526,"Bremer County, IA",1998,2.5
26527,"Buchanan County, IA",1998,3.9
26528,"Buena Vista County, IA",1998,2.0
26529,"Butler County, IA",1998,4.1
26530,"Calhoun County, IA",1998,2.7
26531,"Carroll County, IA",1998,2.4
26532,"Cass County, IA",1998,3.8
26533,"Cedar County, IA",1998,2.6
26534,"Cerro Gordo County, IA",1998,2.9
26535,"Cherokee County, IA",1998,2.7
26536,"Chickasaw County, IA",1998,3.8
26537,"Clarke County, IA",1998,3.7
26538,"Clay County, IA",1998,2.8
26539,"Clayton County, IA",1998,4.8
26540,"Clinton County, IA",1998,3.1
26541,"Crawford County, IA",1998,2.7
26542,"Dallas County, IA",1998,1.8
26543,"Davis County, IA",1998,3.4
26544,"Decatur County, IA",1998,5.1
26545,"Delaware County, IA",1998,4.4
26546,"Des Moines County, IA",1998,3.1
26547,"Dickinson County, IA",1998,3.2
26548,"Dubuque County, IA",1998,3.2
26549,"Emmet County, IA",1998,3.5
26550,"Fayette County, IA",1998,4.0
26551,"Floyd County, IA",1998,4.3
26552,"Franklin County, IA",1998,3.0
26553,"Fremont County, IA",1998,2.7
26554,"Greene County, IA",1998,2.9
26555,"Grundy County, IA",1998,2.4
26556,"Guthrie County, IA",1998,2.5
26557,"Hamilton County, IA",1998,2.7
26558,"Hancock County, IA",1998,1.9
26559,"Hardin County, IA",1998,3.6
26560,"Harrison County, IA",1998,2.9
26561,"Henry County, IA",1998,2.7
26562,"Howard County, IA",1998,3.0
26563,"Humboldt County, IA",1998,2.0
26564,"Ida County, IA",1998,2.4
26565,"Iowa County, IA",1998,2.2
26566,"Jackson County, IA",1998,4.3
26567,"Jasper County, IA",1998,2.4
26568,"Jefferson County, IA",1998,2.9
26569,"Johnson County, IA",1998,2.2
26570,"Jones County, IA",1998,2.8
26571,"Keokuk County, IA",1998,4.4
26572,"Kossuth County, IA",1998,2.7
26573,"Lee County, IA",1998,4.2
26574,"Linn County, IA",1998,1.9
26575,"Louisa County, IA",1998,3.4
26576,"Lucas County, IA",1998,3.6
26577,"Lyon County, IA",1998,2.3
26578,"Madison County, IA",1998,2.8
26579,"Mahaska County, IA",1998,2.4
26580,"Marion County, IA",1998,2.5
26581,"Marshall County, IA",1998,2.8
26582,"Mills County, IA",1998,2.3
26583,"Mitchell County, IA",1998,2.7
26584,"Monona County, IA",1998,3.5
26585,"Monroe County, IA",1998,3.1
26586,"Montgomery County, IA",1998,3.2
26587,"Muscatine County, IA",1998,2.7
26588,"O'Brien County, IA",1998,2.5
26589,"Osceola County, IA",1998,2.8
26590,"Page County, IA",1998,2.8
26591,"Palo Alto County, IA",1998,2.5
26592,"Plymouth County, IA",1998,2.8
26593,"Pocahontas County, IA",1998,2.3
26594,"Polk County, IA",1998,2.1
26595,"Pottawattamie County, IA",1998,2.6
26596,"Poweshiek County, IA",1998,3.2
26597,"Ringgold County, IA",1998,3.2
26598,"Sac County, IA",1998,3.1
26599,"Scott County, IA",1998,2.7
26600,"Shelby County, IA",1998,2.5
26601,"Sioux County, IA",1998,2.7
26602,"Story County, IA",1998,2.5
26603,"Tama County, IA",1998,2.9
26604,"Taylor County, IA",1998,3.4
26605,"Union County, IA",1998,3.5
26606,"Van Buren County, IA",1998,2.8
26607,"Wapello County, IA",1998,3.9
26608,"Warren County, IA",1998,1.9
26609,"Washington County, IA",1998,2.4
26610,"Wayne County, IA",1998,3.9
26611,"Webster County, IA",1998,2.9
26612,"Winnebago County, IA",1998,2.3
26613,"Winneshiek County, IA",1998,3.7
26614,"Woodbury County, IA",1998,2.9
26615,"Worth County, IA",1998,3.1
26616,"Wright County, IA",1998,2.4
26617,"Allen County, KS",1998,4.7
26618,"Anderson County, KS",1998,5.4
26619,"Atchison County, KS",1998,5.0
26620,"Barber County, KS",1998,3.9
26621,"Barton County, KS",1998,3.4
26622,"Bourbon County, KS",1998,4.8
26623,"Brown County, KS",1998,4.6
26624,"Butler County, KS",1998,3.0
26625,"Chase County, KS",1998,4.2
26626,"Chautauqua County, KS",1998,5.8
26627,"Cherokee County, KS",1998,5.7
26628,"Cheyenne County, KS",1998,1.7
26629,"Clark County, KS",1998,1.8
26630,"Clay County, KS",1998,2.8
26631,"Cloud County, KS",1998,3.1
26632,"Coffey County, KS",1998,5.5
26633,"Comanche County, KS",1998,1.9
26634,"Cowley County, KS",1998,5.4
26635,"Crawford County, KS",1998,4.3
26636,"Decatur County, KS",1998,2.7
26637,"Dickinson County, KS",1998,3.0
26638,"Doniphan County, KS",1998,5.5
26639,"Douglas County, KS",1998,4.0
26640,"Edwards County, KS",1998,2.8
26641,"Elk County, KS",1998,4.8
26642,"Ellis County, KS",1998,2.8
26643,"Ellsworth County, KS",1998,2.4
26644,"Finney County, KS",1998,2.7
26645,"Ford County, KS",1998,2.3
26646,"Franklin County, KS",1998,4.8
26647,"Geary County, KS",1998,6.5
26648,"Gove County, KS",1998,2.7
26649,"Graham County, KS",1998,2.9
26650,"Grant County, KS",1998,3.8
26651,"Gray County, KS",1998,2.2
26652,"Greeley County, KS",1998,3.5
26653,"Greenwood County, KS",1998,4.9
26654,"Hamilton County, KS",1998,1.9
26655,"Harper County, KS",1998,2.2
26656,"Harvey County, KS",1998,2.5
26657,"Haskell County, KS",1998,2.5
26658,"Hodgeman County, KS",1998,2.0
26659,"Jackson County, KS",1998,3.9
26660,"Jefferson County, KS",1998,4.3
26661,"Jewell County, KS",1998,2.5
26662,"Johnson County, KS",1998,2.4
26663,"Kearny County, KS",1998,2.5
26664,"Kingman County, KS",1998,2.9
26665,"Kiowa County, KS",1998,2.2
26666,"Labette County, KS",1998,4.9
26667,"Lane County, KS",1998,2.7
26668,"Leavenworth County, KS",1998,4.1
26669,"Lincoln County, KS",1998,2.9
26670,"Linn County, KS",1998,8.4
26671,"Logan County, KS",1998,2.3
26672,"Lyon County, KS",1998,3.5
26673,"McPherson County, KS",1998,2.6
26674,"Marion County, KS",1998,2.3
26675,"Marshall County, KS",1998,2.7
26676,"Meade County, KS",1998,1.9
26677,"Miami County, KS",1998,3.4
26678,"Mitchell County, KS",1998,1.8
26679,"Montgomery County, KS",1998,4.8
26680,"Morris County, KS",1998,3.5
26681,"Morton County, KS",1998,2.1
26682,"Nemaha County, KS",1998,2.6
26683,"Neosho County, KS",1998,4.3
26684,"Ness County, KS",1998,3.3
26685,"Norton County, KS",1998,1.9
26686,"Osage County, KS",1998,5.5
26687,"Osborne County, KS",1998,2.3
26688,"Ottawa County, KS",1998,3.0
26689,"Pawnee County, KS",1998,2.1
26690,"Phillips County, KS",1998,2.9
26691,"Pottawatomie County, KS",1998,3.1
26692,"Pratt County, KS",1998,2.3
26693,"Rawlins County, KS",1998,2.5
26694,"Reno County, KS",1998,3.6
26695,"Republic County, KS",1998,2.4
26696,"Rice County, KS",1998,4.1
26697,"Riley County, KS",1998,3.7
26698,"Rooks County, KS",1998,3.6
26699,"Rush County, KS",1998,3.0
26700,"Russell County, KS",1998,3.3
26701,"Saline County, KS",1998,3.2
26702,"Scott County, KS",1998,2.3
26703,"Sedgwick County, KS",1998,3.1
26704,"Seward County, KS",1998,2.9
26705,"Shawnee County, KS",1998,4.1
26706,"Sheridan County, KS",1998,2.5
26707,"Sherman County, KS",1998,2.1
26708,"Smith County, KS",1998,2.0
26709,"Stafford County, KS",1998,2.5
26710,"Stanton County, KS",1998,1.9
26711,"Stevens County, KS",1998,2.1
26712,"Sumner County, KS",1998,2.7
26713,"Thomas County, KS",1998,2.3
26714,"Trego County, KS",1998,2.4
26715,"Wabaunsee County, KS",1998,4.3
26716,"Wallace County, KS",1998,1.9
26717,"Washington County, KS",1998,3.0
26718,"Wichita County, KS",1998,3.2
26719,"Wilson County, KS",1998,4.3
26720,"Woodson County, KS",1998,6.1
26721,"Wyandotte County, KS",1998,7.2
26722,"Adair County, KY",1998,15.7
26723,"Allen County, KY",1998,4.2
26724,"Anderson County, KY",1998,3.4
26725,"Ballard County, KY",1998,5.7
26726,"Barren County, KY",1998,4.3
26727,"Bath County, KY",1998,5.3
26728,"Bell County, KY",1998,6.3
26729,"Boone County, KY",1998,2.8
26730,"Bourbon County, KY",1998,2.5
26731,"Boyd County, KY",1998,6.3
26732,"Boyle County, KY",1998,3.2
26733,"Bracken County, KY",1998,4.2
26734,"Breathitt County, KY",1998,8.0
26735,"Breckinridge County, KY",1998,5.6
26736,"Bullitt County, KY",1998,2.8
